epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3186,1.21395,0.97531,1.31765,0.68773,0.6486,0.65369,0.38355,1.47752,1.20646,1.49299,0.0667745,3.32588e-05,3.32588e-05
2,165.959,1.08641,0.82084,1.23456,0.77396,0.74343,0.77429,0.4936,1.33685,0.97369,1.37609,0.0334679,5.99995e-05,5.99995e-05
3,245.968,1.04276,0.75679,1.20053,0.75982,0.74588,0.76331,0.49398,1.3153,0.95735,1.36136,0.000154711,8.01402e-05,8.01402e-05
4,332.44,1.01986,0.71959,1.19333,0.78833,0.73459,0.77125,0.50154,1.31571,0.94488,1.36643,7.03e-05,7.03e-05,7.03e-05
5,420.261,1.01812,0.72124,1.18758,0.76086,0.74832,0.77457,0.50484,1.30502,0.9447,1.35655,6.04e-05,6.04e-05,6.04e-05
6,501.16,1.00997,0.70769,1.18786,0.78129,0.73555,0.77213,0.50285,1.30162,0.94478,1.35556,5.05e-05,5.05e-05,5.05e-05
7,583.203,1.00836,0.71269,1.19051,0.7795,0.73753,0.77404,0.50378,1.29865,0.93625,1.35617,4.06e-05,4.06e-05,4.06e-05
8,666.033,1.00336,0.70331,1.17879,0.78806,0.7305,0.77395,0.50459,1.30299,0.93901,1.3589,3.07e-05,3.07e-05,3.07e-05
9,752.224,0.99583,0.70333,1.17659,0.78857,0.73146,0.77605,0.50432,1.29805,0.93299,1.3516,2.08e-05,2.08e-05,2.08e-05
10,840.868,1.00278,0.70246,1.1816,0.76897,0.7476,0.77317,0.50623,1.29831,0.93335,1.35431,1.09e-05,1.09e-05,1.09e-05
